Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
LKA,2005-04-01,2005-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,,35.503132,I,base year is 2015
LKA,2006-04-01,2006-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,,39.069681,I,base year is 2015
LKA,2007-04-01,2007-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,,46.096936,I,base year is 2015
LKA,2008-04-01,2008-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,,60.771829,I,base year is 2015
LKA,2009-04-01,2009-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,,62.737901,I,base year is 2015
LKA,2010-04-01,2010-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,,68.037710,I,base year is 2015
LKA,2011-04-01,2011-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,,75.516113,I,base year is 2015
LKA,2012-04-01,2012-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,,81.250958,I,base year is 2015
LKA,2013-04-01,2013-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,,87.700150,I,base year is 2015
LKA,2014-04-01,2014-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,,92.011418,X,base year is 2015
LKA,2015-04-01,2015-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,,95.897951,X,base year is 2015
LKA,2016-04-01,2016-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,,100.597945,X,base year is 2015
LKA,2017-04-01,2017-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,,112.438314,X,base year is 2015
LKA,2018-04-01,2018-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,,112.076776,X,base year is 2015
LKA,2019-04-01,2019-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,,110.721009,X,base year is 2015
LKA,2020-04-01,2020-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,,124.278684,X,base year is 2015
LKA,2021-04-01,2021-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,,136.299822,X,base year is 2015
LKA,2022-04-01,2022-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,,197.696807,X,base year is 2015
LKA,2023-04-01,2023-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2023,2023,,251.246708,X,base year is 2015
LKA,2024-04-01,2024-04-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2024,2024,,259.441976,X,base year is 2015
LKA,2000-05-01,2000-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,,19.876285,I,base year is 2015
LKA,2001-05-01,2001-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,,23.938127,I,base year is 2015
LKA,2002-05-01,2002-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,26.924116,I,base year is 2015
LKA,2003-05-01,2003-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,28.937119,I,base year is 2015
LKA,2004-05-01,2004-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,31.074071,I,base year is 2015
LKA,2005-05-01,2005-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,35.745806,I,base year is 2015
LKA,2006-05-01,2006-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,39.882734,I,base year is 2015
LKA,2007-05-01,2007-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,46.461275,I,base year is 2015
LKA,2008-05-01,2008-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,61.783169,I,base year is 2015
LKA,2009-05-01,2009-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,64.535461,I,base year is 2015
LKA,2010-05-01,2010-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,69.070834,I,base year is 2015
LKA,2011-05-01,2011-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,76.073592,I,base year is 2015
LKA,2012-05-01,2012-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,82.696984,I,base year is 2015
LKA,2013-05-01,2013-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,90.201819,I,base year is 2015
LKA,2014-05-01,2014-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,93.728724,X,base year is 2015
LKA,2015-05-01,2015-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,97.976795,X,base year is 2015
LKA,2016-05-01,2016-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,102.676789,X,base year is 2015
LKA,2017-05-01,2017-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,113.522928,X,base year is 2015
LKA,2018-05-01,2018-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,113.522928,X,base year is 2015
LKA,2019-05-01,2019-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,113.071006,X,base year is 2015
LKA,2020-05-01,2020-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,125.634451,X,base year is 2015
LKA,2021-05-01,2021-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,138.559434,X,base year is 2015
LKA,2022-05-01,2022-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,219.251484,X,base year is 2015
LKA,2023-05-01,2023-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,253.828779,X,base year is 2015
LKA,2024-05-01,2024-05-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2024,2024,,255.175946,X,base year is 2015
LKA,2000-06-01,2000-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,20.738643,I,base year is 2015
LKA,2001-06-01,2001-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,24.557477,I,base year is 2015
